X,Y,Fuel
39223.7876,7207.5742, 5904
39273.3912,7098.5744, 5896
39321.55,6988.9915, 5888
39368.2573,6878.843, 5880
39413.5063,6768.1465, 5872
39457.2908,6656.9197, 5864
39499.6045,6545.1804, 5856
39540.4417,6432.9463, 5848
39579.7965,6320.2353, 5840
39617.6636,6207.0653, 5832
39654.0378,6093.4542, 5824
39688.9142,5979.42, 5816
39722.2881,5864.9807, 5808
39754.155,5750.1545, 5800
39784.5107,5634.9593, 5792
39813.3513,5519.4132, 5784
39840.673,5403.5346, 5776
39866.4723,5287.3414, 5768
39890.7461,5170.8519, 5760
39913.4913,5054.0844, 5752
39934.7051,4937.057, 5744
39954.3852,4819.788, 5736
39972.5291,4702.2956, 5728
39989.1349,4584.5981, 5720
40004.2007,4466.7138, 5712
40017.7251,4348.6609, 5704
40029.7067,4230.4577, 5696
40040.1445,4112.1224, 5688
40049.0377,3993.6733, 5680
40056.3856,3875.1287, 5672
40062.188,3756.5067, 5664
40066.4447,3637.8256, 5656
40069.1558,3519.1035, 5648
40070.3218,3400.3587, 5640
40070.3218,3281.6087, 5632
40070.3218,3162.8587, 5624
40070.3218,3044.1087, 5616
40070.3218,2925.3587, 5608
40070.3218,2806.6087, 5600
40070.3218,2687.8587, 5592
40070.3218,2569.1087, 5584
40070.3218,2450.3587, 5576
40070.3218,2331.6087, 5568
40070.3218,2212.8587, 5560
40070.3218,2094.1087, 5552
40070.3218,1975.3587, 5544
40070.3218,1856.6087, 5536
40070.3218,1737.8587, 5528
40070.3218,1619.1087, 5520
40070.3218,1500.3587, 5512
40070.3218,1381.6087, 5504
40070.3218,1262.8587, 5496
40070.3218,1144.1087, 5488
40070.3218,1025.3587, 5480
40070.3218,906.6087, 5472
40070.3218,787.8587, 5464
40070.3218,669.1087, 5456
40070.3218,550.3587, 5448
40070.3218,431.6087, 5440
40070.3218,312.8587, 5432
40070.3218,194.1087, 5424
40070.3218,75.3587, 5416
40070.3218,-43.3913, 5408
